"","PL1013","PL1015","PL1023","PL1043","PL1159","PL1182","PL1226","PL1362","PL1365","PL1383","PL1493","PL1506","PL1618","PL1626","PL1627","PL1648","PL1720","PL1755","PL1932","PL1949","PL1962","PL2102","PL2169","PL2195","PL2209","PL2291","PL2338","PL2353","PL2360","PL2406","PL475","PL519","PL629","PL687","PL808","PL810","PL893"
"ENSG00000180953",0,208,282,0,107,1898,2,0,0,1,0,0,0,0,352,0,0,0,51.107,415.044,632,121,1336,0,463,28.292,416.752,210,545,395.046,6,55,0,0,6.653,73.514,0
"ENSG00000180957",499,972.999,2121.001,1112,10,3244,2104.001,2392.001,1206,5685.999,1587.001,0,132,0,689,2996,4418,1947,2666,4402.999,1346.001,3817,4297,3443.999,1407,544,2216,2605,4005.999,3180,3562,552,1386,1925.001,4387,2506,1038
"ENSG00000180964",244,9,368,605,0,0,1253,252,790,91,123,0,791,2165,0,1890,158,0,81,198,1829,1712,674,590,0,176,924,743,344,381,1209.999,42,38,0,1409,394,25
"ENSG00000180979",291,53,743,407,0,1110,450.594,349,0,101.569,921,0,0,357,0,150,200,1.071,232,522,0,668,922,612.228,0,221,21,235,957,636,294,0,0,168,71,487.775,663
"ENSG00000180992",745,110,838,193,1547,210,108,108,0,106,63,0,0,0,0,0,427,11,202,6,0,276,115,0,0,126,1420,19,1366,585,284,269,164,184,377,204,261
"ENSG00000181007",259,60,0,371,0,0,0,0,0,0,33,274,0,979,0,0,1141,1,191,888,324,832,0,1365,0,0,194,0,16,0,61,0,0,151,545,65,2
"ENSG00000181019",144,80.999,489,21,0,425,171,0,0,0,64,0,0,0,0,0,0,654,315,241,0,1182,173,339,0,0,659,641,0,0,215,0,536,0,379,0,0
"ENSG00000181026",0,59,0,64,0,0,311,50,582,98,664,0,0,0,0,0,0,0,532,414,77,876,50,0,0,21,0,409,767,241,112,110,0,249,236,95,19
"ENSG00000181027",0,0,0,0,0,0,0,78,0,62,107,0,0,0,0,0,0,290,0,671,0,156,0,0,0,0,366,0,0,0,36,0,0,0,226,0,0
"ENSG00000181029",4986,247.372,1960.647,1406.503,3093.001,930,2423.589,3485.001,0,3922,2091,665,0,0,2396,2084,3710,179,755,4894.001,3393,2413.055,640.324,2238.141,2840,746,3238,5541,5272,2499,1482.508,1215.999,604,2999,1706.984,1405.581,1774
"ENSG00000181031",66,32,306,30,0,0,1175,65,0,592,1022,0,0,0,106,0,14,1920,328,94,1380,1175,174,8,263,10,1621,75,508,1083,43,331,0,8,211,228,147
"ENSG00000181035",1182,201,397,141,458,0,0,0,0,67,354,434,0,0,944,0,0,0,0,2659,694,85,0,0,703,142,0,26,20,0,76,54,0,415,488,356,169
"ENSG00000181036",0,50,582,429,0,3052,0,95,0,677,36,0,0,2133,873,0,0,0,0,1104,0,180,0,1386,412,34,162,943,92,253,20,0,131,443,266,13,812
"ENSG00000181038",0,133,1140.926,595,606,1155,95,42,330,350,498.001,0,0,0,0,0,3065,0,0,188,0,169,140,0,736,121,0,230,1300.999,0,571.001,0,274,319,134,136,405
"ENSG00000181061",1031,299.647,486.517,302.743,1743.621,0,296.252,339.994,0,1507.876,398,0,0,0,55.473,0,245.47,0,0,0,0,744.721,370.837,795.964,602,199.435,150.046,506.169,2313.212,1844.504,946.392,559.161,82.688,762.016,436.972,318.486,596.339
"ENSG00000181090",3682,865,3584,3982,345,2388,962,2091,974,2802,3023.001,647,2116.001,169,2909,2934.001,1582.999,424,2192.001,7167.999,3345,3891.999,5808,4352,6229,816.999,2971,3462,2912.001,8588.999,2700,2183.001,1364.999,6341,6780,2105,2532
"ENSG00000181104",212,452,1953,355,1329,1452,492,494,303,541,1304,0,2073,0,0,0,994,0,177,2179,724,77,496,3223,54,191,1,1928,533,99,5023,277,255,472,1045,383,121
"ENSG00000181135",689,181,772,235,0,1653,228,915,0,211,1131,0,0,0,996,0,0,79,381,759,129,662,992,1684,132,219,1663,447,1576,281,45,406.999,47,394,1465.001,395,0
"ENSG00000181163",10439.938,5970.871,24680.655,20445.227,13188.999,4897,21047.662,11259.788,6681.566,17120.225,23153.895,6935,1458,16972.999,8726.889,8782.994,29572.013,8935.886,10470.411,43422.923,21935.369,46741.496,26079.311,18151.879,28610.187,6321.669,12282.711,24679.411,33475.013,26615.358,25180.243,6889.041,7472.687,19570.316,39195.545,15133.229,18041.575
"ENSG00000181191",151,127,372,1874.999,304,0,720,645,1184,1020,553,0,554,0,845,0,0,0,34,583,0,1266,444,2578,382,113,113,1658,496,1913,231,337,0,2605.001,1875,401,0
"ENSG00000181192",746,225.001,480,3394,718,0,1089,386,1829,2707,1375,0,0,11,398,2835,2912,15,775,892,1505,1991,2821,2317,1415.001,463,281,1808,4229.999,2329,1005.001,747,656,1702,2275.001,1171,79
"ENSG00000181218",0,158,1095,110,0,1746,0,193,1,222,806,396,0,0,0,0,1585,0,194,421,704,516,879,1710,365,141,0,1808,1792,0,255,132,150,21,696,328,710
"ENSG00000181220",431,452,1420,656,378,0,695,115,335,666,803,0,313,0,276,0,621,1093,80.805,0,573,1155.999,760,0,2132,93,281,1162,2606,67,218,489,508,179,982,643,337
"ENSG00000181222",6049,2053,5960,5403,2332,7520,3698.001,2077,1635.001,6516,5881,454,1628,4300,3327,2789,7506,4239,3738,5285,4736,9578,6088,4274.999,922,1097.001,9576,9178,10220,4108,2003.001,2355,2343,1624,7016,4356.999,6494.001
"ENSG00000181274",348,1492,2508,2703,681,135,2389,1255,332,3065,2100,1376,2273,1716,1372,720,3142,3179,3297,4708,4806,3757,4213,1019,3073,967,6815,7734,15523,6008,2150,1509,1291,3319,6833,2788,474
"ENSG00000181284",0,0,190,22.982,372,0,139,232,0,0,216,0,0,0,244,3453,41,0,0,793,2004,234,0,672,258,24,108,0,575,420,0,0,171,0,683.592,88,0
"ENSG00000181315",101.109,279,318,442,0,0,115,674,0,235,791,0,0,0,0,703,929,0,66,1040,649,305,80,378,24,76,60,0,1050,1692.04,118,31,685,126,870.738,58.743,100
"ENSG00000181350",816,277,108,17,0,0,0,349,490,708,0,0,0,116,0,0,0,0,391,0,0,524,723,551,252,43.012,0,1118,85,577,150,27,641,0,0,187,0
"ENSG00000181381",1483,213,1956,1019,1664,0,1517,722,1016,2396,335,456,2020,0,677,945,2059,353,403,473,2878,789,1504,577,1805,584.001,75,2557,3259.001,2503,277,774,510,646,1309,464,141
"ENSG00000181396",78,5,0,1173,0,0,148,11,850,3,0,0,0,0,1,0,86,0,59,3094,376,1266,302,0,391,15,0,351,937,331,84,0,290,90,633,35,0
"ENSG00000181404",1408.22,134.354,0,0,0,0,128.569,0,0,154.804,160.078,0,30,0,361.372,0,0,0,9.343,458.019,480,356.504,0,0,0,58.636,240.016,217.957,641.241,0,231.77,4.214,0,9.338,438.599,141.598,777.691
"ENSG00000181409",0,5,448,527.999,0,0,42,0,0,1071,87,0,0,0,0,0,0,0,0,0,39,0,129,30,570,27,0,1707,1380,0,539,0,10,0,317,88,229
"ENSG00000181444",93,251,930,935,2456,217,710,814,322,1876,1947,237,739,802,31,346,1199,0,429,2213,1157,2014,1102,2384,98,370,1874,3393,9214,3003,907,330,429,976,4038,1476,506
"ENSG00000181450",984,0,0,238,107,0,20,0,0,150,0,0,791,0,0,0,0,0,0,0,374,312,293,93,0,46,64,128,197,0,181,0,0,49,842,0,130
"ENSG00000181467",3420,1215,4866,4311,3696,5468,5752,1363,764,3508,6590,1231,4609,0,3505,1725,4879,3294,2345,9058,3345,4473,4501,6305,4640,1101,3612,4401,8081,8549,5252,3329,1794,2692,7724.225,3148,2610
"ENSG00000181472",0,63,762,780,389,0,215,864,2012,129,328,0,0,961,483,0,720,0,891,2923,202,1197,245,130,82,322,86,3238,1934,565,631,269,203,0,1062,497,545
"ENSG00000181481",0,106,302,542,0,0,540,621,0,1508,142,0,874,0,153,0,1927.001,0,397,1465,826,674,33,2660,156,98,391,367,1301,4768,985,796,44,0,806,1047,212
"ENSG00000181513",147,67,41,228,917,207,0,138,0,12,15,0,0,0,0,0,107,0,0,8,190,303,630,0,0,73,69,258,0,0,246,0,0,532,0,16,0
"ENSG00000181544",851,0,316,31,0,0,196,0,201,0,25,0,0,169,159,0,625,0,58,591,73,566,380,91,946,75,12,183,1184,1048,24,24,0,77,111,0,0
"ENSG00000181555",6091.001,2465.001,6119,5353,4852,1682,4255.999,3772,1812,5110.001,2447,368,1291.001,6841.001,4449,2508,10715,3125,3109,14719,6749,12109,10816.001,11036,5306,1217.999,8728,3789,10373.998,9642,4503.999,1629,2716,5002,10140,3769.999,5182
"ENSG00000181588",641,22,385,791,0,782,2,0,675,1,111,0,0,1394,491,0,29,0,49,1136,136,115,28,0,0,68,72,0,0,37,0,0,175,0,713,272,0
